id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5696367,Lovely flat  Old Town Private Parking free,14922045,Jorge,,Centro,36.72544,-4.42108,Entire home/apt,95,4,296,2024-06-14,2.79,3,290,55,VFT / MA / 207
5733868,Loft céntrico y tranquilo.,26160719,Catalina,,Centro,36.71496,-4.42836,Entire home/apt,78,2,284,2024-06-26,2.52,3,61,40,CTC-201662784
5747125,M&M Malaga apartment,29810968,M&M,,Centro,36.71903,-4.42311,Entire home/apt,108,2,376,2024-06-27,3.34,1,237,49,VFT/MA/00348
5777461,Luxury appart. with 3 double rooms,25731522,Alberto,,Centro,36.71897,-4.41016,Entire home/apt,280,6,30,2018-12-07,0.27,1,169,0,CTC-201629188
5802060,New apartment in the city center,1807742,Débora,,Centro,36.72536,-4.42302,Entire home/apt,,2,192,2024-05-26,1.71,1,57,27,VFT/MA/26505
5817293,Double room private bathroom penthouse and terrace,9732526,Nacho,,Centro,36.73198,-4.4158,Private room,46,2,511,2024-06-29,4.54,1,36,57,VFT/MA/00926
5891379,"Villa Salud, primer piso",30595775,Ana María,,Centro,36.7320585,-4.4135745,Entire home/apt,167,4,6,2023-09-08,0.33,2,24,3,VFT/MA/13396
5940218,"Maison entière,avec jacuzzi.Totalement équipée.",30780647,Claudine,,Churriana,36.66931,-4.50374,Entire home/apt,85,5,14,2024-05-29,0.28,2,141,7,CTC-201625305
5940398,"B&B indépendant,double vitrage,aéroport Málaga AGP",30780647,Claudine,,Churriana,36.66901,-4.5043,Private room,44,1,318,2024-06-16,3.22,2,226,84,CTC-201625289
5997093,Pedregalejos playa 2 habitaciones,31088953,Jose Maria,,Este,36.72115,-4.3736,Entire home/apt,113,2,44,2024-03-25,0.50,8,241,6,CTC-2018040734
6042336,So Clean Low Cost Apartment at city centre no bars,30149500,Martin,,Centro,36.71609,-4.42325,Entire home/apt,66,3,328,2024-06-16,3.01,2,48,62,VFT/MA 04518
6049288,★Apartment★ close to Malaga Harbour VFT/MA/01286,26583926,Patricio,,Centro,36.71442,-4.4231,Entire home/apt,209,4,97,2024-06-09,0.88,7,38,19,VFT/MA/01286
6058531,Apartamento Teatinos,27318445,David,,Teatinos-Universidad,36.71849,-4.48694,Entire home/apt,,3,6,2022-09-15,0.06,1,0,0,VTF/MA/01204
6060775,Magical Malaga Apartment,9479943,Manfred,,Centro,36.72505,-4.4211,Entire home/apt,,3,125,2024-03-27,1.14,1,0,14,VFT/MA/06328
6077119,"In the center,Free private parking,cosy,2room,wifi",25961901,"Isabel, Gloria Y Francisco",,Centro,36.71784,-4.42634,Entire home/apt,113,2,455,2024-06-20,4.22,1,282,55,RTA-02068
6160764,Unique & Smart Loft Malaga centre!,31130279,Zeljko,,Centro,36.72382,-4.42335,Entire home/apt,117,7,273,2024-06-19,2.52,1,170,24,VTF/MA/04113
6209072,En pleno centro de Málaga  2di,17585280,Pablo Y Marisa,,Centro,36.72346,-4.41682,Entire home/apt,127,7,52,2024-02-25,0.47,13,247,6,A/MA/01334
6225247,Lovely Flat at the Historic Center,32285652,Ramon,,Centro,36.72384,-4.421,Entire home/apt,98,2,583,2024-06-15,5.30,1,83,71,VFT/MA/0293
6338576,Malaga Exclusive Penthouse Private Solarium Roof Terrace A,8544512,Malaga Center Flat,,Centro,36.72244,-4.41029,Entire home/apt,139,1,23,2023-11-27,0.23,73,267,3,VFT/MA/00748
6341180,★ Sea views - city centre - Home ★ VFT/MA/01282,26583926,Patricio,,Centro,36.7143,-4.42322,Entire home/apt,194,5,118,2024-06-09,1.07,7,47,15,VFT/MA/01282
6354568,Suncity flat Gigantes,16584611,Suncity,,Centro,36.7235,-4.42357,Entire home/apt,128,2,48,2024-02-17,0.44,20,287,11,2017024117
6413642,"City center next to the beach, 3 bedrooms",2707228,Alfonso,,Carretera de Cadiz,36.707393646240234,-4.43146276473999,Entire home/apt,182,5,36,2023-08-11,0.33,3,92,1,VFT/MA/1338
6441590,Vistas al Mar Sancha Apartments by Bossh!,13172203,Marta,,Centro,36.72273,-4.40003,Entire home/apt,135,3,200,2024-04-07,1.85,4,179,2,VFT/MA/01913
6446223,Apartment in the Old City of Málaga,33655805,Miguel,,Centro,36.72724,-4.41504,Entire home/apt,104,5,232,2024-06-22,2.13,1,70,28,VFT/MA/00821
6458138,Cinco Bolas House,33709750,Peter,,Centro,36.71934,-4.42238,Entire home/apt,264,2,147,2024-06-19,1.35,1,331,35,VFT/MA/01829
6463960,Habitación doble céntrica,33756472,Silvia,,Centro,36.72937,-4.42086,Private room,35,3,356,2024-06-27,3.28,1,250,56,VFT/MA/1216/
6474492,Piso céntrico y confortable,33824497,Newma,,Cruz De Humilladero,36.72145,-4.43345,Entire home/apt,,5,75,2024-01-04,0.78,1,0,12,CTC-2020053755
6491764,Apartamento con wifi y parking gratuito,7619784,María Del Carmen,,Ciudad Jardin,36.75031,-4.42094,Entire home/apt,97,3,73,2023-07-22,0.67,1,208,2,VFT/MA/19317
6537249,BEST LOCATION-ESPECERIAS STREET,11778619,Arantxa,,Centro,36.72086,-4.42314,Entire home/apt,94,5,146,2024-06-16,1.34,14,346,23,VFT/MA/13362
6564263,Central apt with 3 pools-1GB internet wifi,13627093,José Antonio,,Este,36.72685,-4.37444,Entire home/apt,80,7,19,2024-06-16,0.25,2,242,3,VFT/MA/01846
6593915,BRIGHT LUX HISTORICA CENTER & BEACH,2092252,Juliette,,Centro,36.72194,-4.42462,Entire home/apt,100,1,10,2018-10-20,0.09,15,365,0,VFT/MA/10839
6610046,Apartment in Malaga's historic center,34588099,Cony,,Centro,36.72485,-4.42053,Entire home/apt,136,2,356,2024-06-29,3.23,1,300,43,VFT/MA/01744
6624466,Exclusive terrace penthouse 2 bedrooms WIFi,11318862,Maria Palma,,Centro,36.71792,-4.42431,Entire home/apt,181,4,53,2024-06-23,0.48,7,210,12,VUT/MA/00958
6631878,Zimmer A in El Palo (Malaga),32061336,Manuel,,Este,36.72053,-4.35684,Private room,39,2,169,2024-06-19,1.56,2,311,40,CTC-2018176676
6666420,Great apartment in the City Center with terrace,12645287,Sergio,,Centro,36.72371132917236,-4.420763924717903,Entire home/apt,170,2,156,2024-05-31,1.45,1,207,20,VFT/MA/01065.
6675426,Terrace and garden close to beach,34938050,Antonio Javier,,Este,36.72294,-4.37103,Entire home/apt,133,1,116,2024-05-23,1.06,1,3,13,VFT/MA/04203
6681385,SÖK Estudio Muelle Uno - Holidays Homes,15627138,Yolanda,,Centro,36.71865,-4.41165,Entire home/apt,,3,140,2024-06-08,1.29,2,79,6,VFT/MA/00712
6703832,Lovely flat in the city center,35091691,Jonatan,,Centro,36.7259,-4.42825,Entire home/apt,77,2,198,2024-06-24,1.82,2,241,40,VFT/MA/12747
6756237,Habitacion centro historico malaga,35363742,Jose,,Centro,36.72243,-4.42305,Private room,40,4,156,2024-04-03,1.54,1,309,20,CTC-2018151010
6762393,Estudio Centro Histórico A/C WiFi,22835439,Bruno,,Centro,36.72438,-4.42563,Entire home/apt,102,2,11,2024-03-29,0.10,17,72,1,A/MA/01382
6772586,Lovely place in heart of the city 3di,17585280,Pablo Y Marisa,,Centro,36.72352,-4.41713,Entire home/apt,131,7,62,2023-10-08,0.57,13,236,4,A/MA/01334
6783327,MOON room in wonderful private area with sea views,35511227,Juan Carlos,,Puerto de la Torre,36.72712,-4.478,Private room,36,5,172,2024-04-23,1.59,2,257,13,VTF/MA/01274
6796008,Malaga Center Flat Salitre Terrace I,8544512,Malaga Center Flat,,Centro,36.71264,-4.42788,Entire home/apt,120,1,51,2024-06-09,0.47,73,312,7,VFT/MA/08242
6843202,"Homey apartment, Malaga Center",35852710,Eva,,Centro,36.72343,-4.43171,Entire home/apt,76,3,271,2024-06-15,2.48,1,265,31,VFT/MA/19055
6849860,Historic Center PenthouseCathedral Wifi JamceHijos,35892223,Jamce & Hijos,,Centro,36.72021,-4.42003,Entire home/apt,147,2,231,2024-06-26,2.16,2,60,29,VFT/MA/10036
6864158,Malaga Centro Histórico WIFI,8544512,Malaga Center Flat,,Centro,36.719856,-4.423673,Entire home/apt,88,1,28,2024-04-13,0.52,73,285,7,VFT/MA/08238
6937483,Pedregalejo playa 2,31088953,Jose Maria,,Este,36.72096,-4.37358,Entire home/apt,100,1,179,2024-06-16,1.65,8,283,23,CTC-2018040734
6955240,habitacion acogedora 2 recien decor,36462988,Sandra,,Carretera de Cadiz,36.70028,-4.44524,Private room,41,1,577,2024-06-02,5.31,2,161,63,CTC -2016102737
6955285,1 Acogedora hab. cerca de la playa,36462988,Sandra,,Carretera de Cadiz,36.70001,-4.44521,Private room,37,1,609,2024-06-04,5.57,2,151,60,CTC-2016102737
6955732,Estudio Rojo céntrico con patio enorme.,12963003,Maria Jesus,,Centro,36.72605,-4.42742,Entire home/apt,99,1,50,2024-05-29,0.46,6,291,4,
7027877,Cozy apartment with garden and swimming pools,36843248,Marisa,,Teatinos-Universidad,36.72403,-4.47509,Entire home/apt,100,6,22,2023-08-19,0.20,1,9,3,VFT/MA/01213
7056328,SUNMore than a Comfort double room,35511227,Juan Carlos,,Teatinos-Universidad,36.72602,-4.47824,Private room,39,5,179,2024-04-20,1.64,2,180,11,
